,0
673,especially
674,carried
675,birth
676,harm
677,danger
678,beautiful
679,attempt
680,aristotle
681,wish
682,thoughts
683,term
684,ridiculous
685,rhetoric
686,physician
687,notion
688,naturally
689,important
690,habit
691,fixed
692,except
693,excellent
694,doubt
695,divided
696,carry
697,works
698,rate
699,please
700,houses
701,grow
702,fine
703,elements
704,advantage
705,wine
706,short
707,poor
708,lie
709,known
710,guilty
711,duty
712,concerning
713,‘the
714,value
715,termed
716,pains
717,legislators
718,food
719,fall
720,easy
721,company
722,below
723,understanding
724,reverse
725,remark
726,reality
727,origin
728,objects
729,lower
730,lesser
731,home
732,ground
733,compared
734,unity
735,suitable
736,strangers
737,lovers
738,later
739,giving
740,drinking
741,beloved
742,wherefore
743,medicine
744,liable
745,history
746,freeman
747,circumstances
748,chance
749,anger
750,written
751,run
752,round
753,mode
754,lead
755,impiety
756,explain
757,exactly
758,elected
759,council
760,arise
761,afraid
762,various
763,tyranny
764,length
765,determined
766,crete
767,chosen
768,bear
769,victory
770,tale
771,require
772,remains
773,error
774,early
775,due
776,born
777,younger
778,superior
779,select
780,prove
781,names
782,ignorant
783,hence
784,gifts
785,double
786,dear
787,animal
788,useful
789,telfy
790,sees
791,honours
792,everything
793,discussion
794,afterwards
795,wholly
796,vision
797,unable
798,taught
799,stars
800,sacrifices
801,quality
802,pure
803,previous
804,method
805,masters
806,lysias
807,genius
808,discovered
809,deemed
810,voice
811,used
812,twenty
813,stronger
814,statesman
815,shown
816,proportion
817,led
818,learning
819,lawgiver
820,head
821,exist
822,excess
823,divisions
824,concerned
825,community
826,clear
827,changes
828,author
829,asked
830,agreed
831,add
832,worst
833,voluntary
834,universal
835,sciences
836,rhythm
837,kindred
838,high
839,fancy
840,enquiry
841,distinction
842,dialectic
843,considered
844,characters
845,worthy
846,silver
847,result
848,hellenes
849,hellas
850,held
851,exercise
852,disease
853,dance
854,control
855,contests
856,brother
857,bodily
858,acknowledge
859,account
860,since
861,servants
862,saw
863,produce
864,offer
865,night
866,move
867,moral
868,images
869,goes
870,draw
871,begins
872,arises
873,apt
874,admitted
875,worth
876,thinking
877,spartan
878,process
879,possession
880,perfectly
881,literature
882,listen
883,kings
884,friendship
885,expression
886,deal
887,continue
888,tradition
889,trade
890,mistaken
891,male
892,interests
893,forth
894,female
895,e
896,difficult
897,avoid
898,violence
899,sorts
900,song
901,rules
902,religious
903,regulations
904,purpose
905,offspring
906,near
907,moment
908,madness
909,laid
910,intercourse
911,exercises
912,excellence
913,command
914,cast
915,aware
916,army
917,utterly
918,questions
919,practise
920,play
921,platonic
922,past
923,party
924,myself
925,mentioned
926,large
927,itself
928,increase
929,generals
930,fifty
931,enter
932,duties
933,distance
934,battle
935,amount
936,soon
937,relations
938,passing
939,passage
940,king
941,escape
942,earnest
943,dances
944,assembly
945,apply
946,alike
947,affirm
948,vote
949,unlike
950,trial
951,teach
952,sufficient
953,ruin
954,ordinary
955,note
956,neglect
957,muses
958,imitate
959,heavens
960,gentle
961,gave
962,fortune
963,foreign
964,external
965,exile
966,distinguish
967,defence
968,colony
969,temperate
970,suit
971,shadows
972,satisfied
973,rational
974,prayers
975,period
976,nearly
977,moderate
978,labour
979,equality
980,distinguished
981,dialogues
982,convicted
983,conceive
984,witness
985,thirdly
986,taste
987,strong
988,speaks
989,seek
990,oligarchy
991,middle
992,mention
993,knowing
994,guard
995,greatly
996,fight
997,die
998,dialogue
999,decision
1000,conclusion
1001,writers
1002,parent
1003,ones
1004,noblest
1005,lose
1006,hellenic
1007,habits
1008,fire
1009,fairly
1010,entirely
1011,endeavour
1012,elder
1013,describing
1014,conditions
1015,attain
1016,apollo
1017,turned
1018,temple
1019,sum
1020,special
1021,priests
1022,powers
1023,plato’s
1024,placed
1025,opinions
1026,notions
1027,non
1028,knew
1029,fathers
1030,contrary
1031,blame
1032,writer
1033,went
1034,upwards
1035,story
1036,stage
1037,reflection
1038,pursuit
1039,proof
1040,perfection
1041,miserable
1042,marry
1043,likes
1044,intelligence
1045,freemen
1046,enactments
1047,disposed
1048,describe
1049,deny
1050,countries
1051,beast
1052,yourself
1053,violent
1054,utter
1055,source
1056,sound
1057,sing
1058,retail
1059,quarrel
1060,persuade
1061,obey
1062,importance
1063,immortal
1064,holy
1065,heart
1066,fellow
1067,families
1068,falsehood
1069,exact
1070,election
1071,derived
1072,definition
1073,custom
1074,consideration
1075,chief
1076,charge
1077,behold
1078,strain
1079,seeking
1080,rites
1081,respecting
1082,reply
1083,receiving
1084,praises
1085,pol
1086,pleases
1087,passages
1088,occasion
1089,necessarily
1090,murder
1091,moreover
1092,manners
1093,justly
1094,inspired
1095,hour
1096,foundation
1097,foolish
1098,final
1099,famous
1100,fail
1101,faculty
1102,existing
1103,drawn
1104,customs
1105,cretan
1106,compel
1107,choice
1108,books
1109,based
1110,attained
1111,wants
1112,twice
1113,stand
1114,soldiers
1115,pursuits
1116,officers
1117,observed
1118,nations
1119,meals
1120,maker
1121,looking
1122,intellectual
1123,herself
1124,hard
1125,figures
1126,doctrine
1127,crime
1128,confusion
1129,conceived
1130,besides
1131,artist
1132,strains
1133,rewards
1134,portion
1135,popular
1136,larger
1137,injured
1138,growth
1139,grown
1140,festivals
1141,expected
1142,entire
1143,description
1144,decide
1145,comparison
1146,capable
1147,benefit
1148,assume
1149,arrived
1150,added
1151,wanting
1152,visible
1153,utmost
1154,useless
1155,servant
1156,remarks
1157,prefer
1158,possess
1159,picture
1160,parties
1161,ours
1162,obtain
1163,musical
1164,loves
1165,lest
1166,honoured
1167,feelings
1168,face
1169,dogs
1170,differences
1171,dare
1172,crimes
1173,boys
1174,angry
1175,abstract
1176,wonder
1177,wild
1178,refuse
1179,prose
1180,preserve
1181,points
1182,pleasant
1183,offences
1184,mortal
1185,magistrate
1186,lay
1187,kill
1188,homicide
1189,distinct
1190,dancing
1191,consequence
1192,coming
1193,chiefly
1194,arguments
1195,altogether
1196,actual
1197,acquired
1198,accordance
1199,train
1200,suits
1201,revolution
1202,respects
1203,regular
1204,provide
1205,prevent
1206,pilot
1207,perceive
1208,passions
1209,month
1210,moderation
1211,members
1212,liberty
1213,intended
1214,hearing
1215,gymnastics
1216,geometry
1217,folly
1218,fairest
1219,fails
1220,established
1221,deed
1222,commonly
1223,athenians
1224,argue
1225,appearance
1226,akin
1227,accomplished
1228,abstain
1229,tragedy
1230,tales
1231,sorrow
1232,sent
1233,ruling
1234,relates
1235,prelude
1236,preamble
1237,poverty
1238,possibly
1239,possibility
1240,polemarchus
1241,painter
1242,leads
1243,introduced
1244,institution
1245,incapable
1246,horse
1247,fifth
1248,enquire
1249,dream
1250,deprived
1251,considering
1252,composed
1253,becoming
1254,assigned
1255,wife
1256,wall
1257,took
1258,timaeus
1259,system
1260,sweet
1261,spot
1262,spoke
1263,skill
1264,shows
1265,send
1266,sacrifice
1267,propose
1268,preserved
1269,older
1270,offender
1271,occur
1272,numerous
1273,multitude
1274,moved
1275,learned
1276,inform
1277,horses
1278,heroes
1279,heavenly
1280,happen
1281,got
1282,gone
1283,foot
1284,existed
1285,daughter
1286,creation
1287,completed
1288,belief
1289,attributed
1290,aims
1291,affairs
1292,acquire
1293,absolutely
1294,—the
1295,x
1296,whenever
1297,watch
1298,tyrannical
1299,test
1300,supposing
1301,sister
1302,simplicity
1303,separate
1304,salvation
1305,rid
1306,riches
1307,relative
1308,offence
1309,nay
1310,legislate
1311,instance
1312,inflicted
1313,heavy
1314,governments
1315,goodness
1316,fashion
1317,direction
1318,counsel
1319,conversation
1320,attend
1321,astronomy
1322,arist
1323,appoint
1324,talking
1325,strange
1326,sphere
1327,speeches
1328,soldier
1329,sleep
1330,shadow
1331,seemed
1332,royal
1333,reverence
1334,read
1335,punishments
1336,pattern
1337,particulars
1338,oracle
1339,moving
1340,mothers
1341,meant
1342,level
1343,intermediate
1344,fit
1345,felt
1346,feel
1347,disgrace
1348,destroyed
1349,deem
1350,companions
1351,committed
1352,christian
1353,blessed
1354,assuredly
1355,answers
1356,understood
1357,trouble
1358,supply
1359,step
1360,speaker
1361,songs
1362,rhythms
1363,reputation
1364,repeat
1365,receives
1366,reasons
1367,proved
1368,properly
1369,proceeds
1370,principal
1371,prevail
1372,philosophical
1373,penalties
1374,passes
1375,morality
1376,mistake
